accession,ENSEBL,K198R_S,K198R_M,R47G,D156E,pval_K198Rs,pval_K198Rm,pval_R47G,pval_D156E
Q96GW9,ENSG00000247626,1.90437577,-0.158174709,0.026345968,0.484589518,1.06E-05,0.182907284,0.895997867,0.024012715
Q6IBS0,ENSG00000247596,-1.361702381,0.326252427,0.018879199,-0.012954344,5.01E-05,0.035470053,0.895259531,0.676152975
Q9NUD5,ENSG00000247315,2.213085072,0.449035729,0.117771899,0.322307002,0.004813479,0.006552929,0.553308369,0.280260808
Q96HS1,ENSG00000247077,1.036685625,0.107671703,0.019869251,0.377091809,0.001697108,0.437554931,0.739005918,0.084602437
Q9NRW3,ENSG00000244509,-0.796658881,0.162862126,0.349484597,0.057804605,0.001480175,0.212166303,0.081678007,0.743820081
Q9NTZ6,ENSG00000244462,0.925482486,-0.150825792,0.160741401,0.265127786,0.000489109,0.578447511,0.309125154,0.122967698
P39656,ENSG00000244038,-1.17236173,0.075762084,0.211970034,-0.0344762,1.18E-05,0.217541777,0.074389654,0.436748485
Q9Y697,ENSG00000244005,-0.174241511,0.516859014,0.661841196,0.290889593,0.129201913,0.005870029,0.099689792,0.304086294
Q03154,ENSG00000243989,-1.640103906,0.017128403,-0.005392664,-0.307620161,0.00058962,0.987890469,0.925301752,0.078909348
Q96ME7,ENSG00000243943,1.941027332,0.390366444,0.238970979,0.299997602,1.35E-05,0.092200585,0.437315429,0.225159883
P82932,ENSG00000243927,1.16582936,-0.153976557,-0.32413179,0.243682523,0.000227027,0.632680259,0.251994122,0.13965768
O95801,ENSG00000243725,0.506479833,0.114008668,0.248472196,0.358300548,0.031424205,0.588820467,0.295020827,0.165424464
Q96MX6,ENSG00000243667,0.379910959,0.03949418,0.187850806,0.022526601,0.004526018,0.739742185,0.105354847,0.872851085
O60831,ENSG00000243279,-0.966113456,0.090625638,0.102839719,-0.152050214,0.00013401,0.064186237,0.317598289,0.097926096
A0A0B4J1V8,ENSG00000243207,0.783834767,-0.143734661,-0.050125042,0.492672149,0.000773942,0.747438934,0.94424934,0.040065116
Q7RTP6,ENSG00000243156,0.096664268,-0.254913565,-0.04485496,-0.236115475,0.718900258,0.244622357,0.695074737,0.223035982
O75394,ENSG00000243147,0.971935033,0.161409613,0.053448667,0.337224661,0.000152808,0.154508197,0.341104677,0.059442449
O43299,ENSG00000242802,-0.671322532,-0.339735921,-0.446319986,-0.358603166,0.008451249,0.046055606,0.007981883,0.036358239
Q9NUI1,ENSG00000242612,-1.724942455,0.227015648,-0.129727817,-0.050336636,0.000791293,0.135525122,0.332362988,0.616947133
Q9BYC9,ENSG00000242485,1.00819503,-0.006605878,0.032547851,0.253394286,6.55E-05,0.890373261,0.65770404,0.080960304
P56537,ENSG00000242372,0.127569397,-0.10526235,-0.382121657,0.132654533,0.126583702,0.024946778,0.061721786,0.018127187
A0A087WUL4,ENSG00000242265,3.052523925,1.056298733,0.593775932,0.393591256,0.006994752,0.024645183,0.223388628,0.100694633
Q9NP61,ENSG00000242247,-1.205176921,0.046385303,0.131860118,0.057992279,0.000980375,0.575096629,0.227699155,0.478550993
Q9NX55,ENSG00000242028,1.268717804,0.791990802,0.901245003,-0.052815697,0.001602051,0.036563219,0.028506045,0.902437256
P42356,ENSG00000241973,0.245536036,0.212891384,0.1907304,-0.27086785,0.019914928,0.089173907,0.128798377,0.062197462
Q15269,ENSG00000241945,1.350748114,-0.288646097,0.053876504,0.486749495,0.000328908,0.38006924,0.572344163,0.055275176
B1AKM8,ENSG00000241878,0.599505609,-0.264720918,-0.224287178,-0.226285905,0.040386276,0.137412429,0.152594099,0.153388397
Q8TD55,ENSG00000241839,-2.833070976,0.350367369,-0.655467451,-0.826984925,0.003392571,0.261402574,0.096411146,0.073316357
P48047,ENSG00000241837,0.198463353,-0.055205136,-0.004950562,-0.077689207,0.038437579,0.327629013,0.593364566,0.170565907
Q92747,ENSG00000241685,-0.511471573,-0.206787907,-0.128456985,0.306187827,0.002159832,0.081116806,0.193611485,0.045972984
P59998,ENSG00000241553,-1.680541276,-0.025476227,0.013560301,-0.183493615,0.001489073,0.65763928,0.846814047,0.186702386
Q96GD0,ENSG00000241360,-1.438219283,-2.497199738,-1.725292754,0.345927875,0.000335037,0.001210659,0.007981883,0.127600542
J3KQN4,ENSG00000241343,0.103525866,-0.031259204,0.304726521,0.170294885,0.262699703,0.936707975,0.06912685,0.184233228
C9IZ57,ENSG00000241127,0.238030217,0.247755115,-0.109273676,0.440846921,0.074085295,0.378415679,0.619358655,0.033796787
P14174,ENSG00000240972,1.882619293,0.295994249,-0.420024507,0.444295818,0.000502911,0.039007862,0.095863536,0.14869786
Q9HBH5,ENSG00000240857,-0.183978831,-0.260370529,-0.291785953,-0.387543779,0.146017936,0.158326118,0.136752618,0.139019121
A5PLL7,ENSG00000240849,0.224730828,-0.556582114,-0.438992875,-0.259949117,0.674332182,0.164564572,0.221947301,0.332891952
Q9UL42,ENSG00000240694,3.216927181,-0.585102483,-0.887866948,-0.248720069,0.002515707,0.130227821,0.083168409,0.302922671
Q9ULR0,ENSG00000240682,0.894991541,-0.361778256,0.027634613,0.128688864,0.027256772,0.388057449,0.890168748,0.579061968
B8ZZ77,ENSG00000240344,0.606518168,0.179643989,-0.046285706,-0.673151448,0.011353854,0.341799436,0.940194383,0.119578677
Q709F0,ENSG00000240303,-0.392869207,0.924270019,0.275704214,0.147726435,0.279156779,0.013999111,0.323295688,0.463878853
Q9UN70,ENSG00000240184,-1.092156244,0.158309601,0.542517731,-0.207303336,0.002267647,0.35275188,0.107910144,0.2084622
A0A7P0T9A7,ENSG00000239900,1.018450976,0.183054424,-0.125166477,-0.121991068,3.00E-05,0.011112029,0.203099323,0.055607489
Q7L5D6,ENSG00000239857,0.343755749,0.069767216,0.029720887,-0.194191974,0.004741935,0.24737413,0.20617064,0.004972636
Q9Y2R5,ENSG00000239789,0.746808914,0.072257447,0.197521219,0.070239558,0.001705321,0.36566095,0.077511151,0.303291899
P15531,ENSG00000239672,0.719876716,0.600988546,-0.179199888,0.467193104,0.179123618,0.433681169,0.907726243,0.117131375
Q8N801,ENSG00000239605,-1.228226661,-0.774391683,-0.446241363,-1.27140421,0.187249256,0.419254773,0.598359947,0.241181521
H0YEC4,ENSG00000239382,1.651085137,0.013193888,-0.152475611,-0.244107222,0.016241653,0.936305115,0.306768697,0.243667467
Q96PK6,ENSG00000239306,0.877367391,-0.293630575,-0.117190427,0.109215975,0.001267104,0.110253194,0.507021856,0.303630002
Q8NBS9,ENSG00000239264,-0.892641726,0.253940172,0.225627203,0.092514373,0.000334999,0.017143506,0.059547498,0.272059847
P12532,ENSG00000237289,3.756755539,-1.029097871,-1.041773738,-0.903736075,0.000350566,0.131228851,0.230112456,0.076205631
Q6UX72,ENSG00000237172,-3.464490223,-0.449608221,0.367514047,-0.13688917,0.005364692,0.304118966,0.392511366,0.689390192
O78179,ENSG00000237022,0.306583581,0.477177276,-4.800337991,-5.055699169,0.055617353,0.0397251,0.013328092,0.018736724
Q53Z42,ENSG00000235657,-1.413512151,0.961889474,-1.132511269,-1.497750767,0.009879653,0.013846141,0.056394221,0.051142687
A0A3B3IU46,ENSG00000235272,-0.612271617,-0.434468602,0.103152988,-0.213986241,0.051434254,0.208523059,0.739754138,0.49620868
Q9BTY7,ENSG00000235173,1.508291552,1.183288104,1.066570918,0.454209807,0.002146052,0.044505964,0.151760098,0.097584057
Q8TAD7,ENSG00000235162,-1.892797657,0.163591859,-0.876082815,-0.356075291,0.000234775,0.11953488,0.020037828,0.190261427
H3BQZ7,ENSG00000234857,0.118803264,-0.194957338,-0.136299807,0.090196391,0.074876737,0.00693254,0.023915741,0.087602204
P01889,ENSG00000234745,0.131658968,0.139937727,-0.880041511,-0.723254339,0.87194998,0.889024675,0.094838918,0.109674296
A0A140T9E9,ENSG00000234704,1.864636128,-0.16974593,0.21332401,0.388291758,2.90E-05,0.731568606,0.21767431,0.077488914
P62857,ENSG00000233927,-0.027168974,-0.025334492,0.100672376,0.168718699,0.963081259,0.981558094,0.459104166,0.22412546
A0A140TA52,ENSG00000233323,-1.850973764,1.979285977,-0.684766542,-1.724233693,0.050626598,0.004177921,0.286165248,0.116764261
P07203,ENSG00000233276,0.163342367,0.334800849,-0.301604821,-0.306260386,0.043401752,0.010973123,0.028897519,0.03738618
Q53S08,ENSG00000233087,-1.676322669,0.854979313,0.872391548,0.198769862,0.011852871,0.024009441,0.024891873,0.538978722
A0A0G2JIW1,ENSG00000232804,1.644419864,0.056000265,0.093254763,0.215966465,4.92E-06,0.759899702,0.540499216,0.091332424
D9J307,ENSG00000232126,-6.229753221,0.653899328,-1.980133248,-1.857707336,0.028778111,0.123729599,0.151862045,0.138131108
Q9ULC4,ENSG00000232119,0.126417087,0.379054489,0.325857509,0.121019951,0.133316929,0.01212776,0.031993644,0.449194176
Q9Y2S6,ENSG00000232112,0.429866711,0.217929152,-0.045103127,-0.311483623,0.025474419,0.342046171,0.993017882,0.181826261
A0A0G2JJD3,ENSG00000231488,-0.584269397,-0.331511624,-0.442874806,-0.170630871,0.011412878,0.105718786,0.069471142,0.415002861
A0A0G2JHC2,ENSG00000231247,-1.676814294,-0.416818254,-0.385438536,-0.174675699,0.000242356,0.016830821,0.023915741,0.08266432
